JobTitle,Require,Link,Year,Rank
JUNIOR SOFTWARE DEVELOPER (PHP/LARAVEL/MySQL),"PHP, Linux, MySQL, JQuery, Git, VueJS, HTML & CSS, JavaScript",https://topdev.vn/viec-lam/junior-software-developer-php-laravel-mysql-secomus-2026725,1 năm,Junior
.NET Developer,"C#, .NET, .NET Core",https://topdev.vn/viec-lam/net-developer-pixelz-2026794,1 năm,Junior
"Automation Tester, QA/ QC","QA, QC, Tester, Automation Tester, Selenium, Appium",https://topdev.vn/viec-lam/automation-tester-qa-qc-sellerwix-print-on-demand-management-system-2026799,1 năm,Trưởng Nhóm
HO - CHUYÊN VIÊN DỰ ÁN QUẢN TRỊ DỊCH VỤ CLOUD,Cloud,https://topdev.vn/viec-lam/ho-chuyen-vien-du-an-quan-tri-dich-vu-cloud-ngan-hang-a-chau-acb-2026807,3 năm,Senior
"Software Developer (Python, JavaScript)","JavaScript, Python, Full-Stack, Front-End, Back-End",https://topdev.vn/viec-lam/software-developer-python-javascript-cong-ty-co-phan-nhua-chau-au-2026901,1 năm,Junior
Test Lead,"Test Design, Automation Tester",https://topdev.vn/viec-lam/test-lead-cong-ty-cp-cq-tdt-asia-2026801,3 năm,Trưởng Nhóm
Senior Backend Engineer (NodeJS),"NodeJS, Back-End, MySQL, REST API",https://topdev.vn/viec-lam/senior-backend-engineer-nodejs-younet-group-2026910,3 năm,Senior
CHUYÊN VIÊN LẬP TRÌNH (PHP/ NODEJS/ JAVA/ JAVASCRIPT/ MOBILE/...),"Java, JavaScript, Mobile, C/C++, PHP, Swift, NodeJS, Objective-C",https://topdev.vn/viec-lam/chuyen-vien-lap-trinh-php-nodejs-java-javascript-mobile-trung-tam-cong-nghe-thong-tin-mobifone-2026917,Tất cả kinh nghiệm,Fresher
[All Levels] Lập trình viên .NET,"C#, JQuery, .NET, Bootstrap",https://topdev.vn/viec-lam/all-levels-lap-trinh-vien-net-bkav-2026916,Tất cả kinh nghiệm,Fresher
Nhân Viên Lập Trình (.Net/ C#/ SQL),"C#, .NET, SQL Server",https://topdev.vn/viec-lam/nhan-vien-lap-trinh-net-c-sql-smartsign-2026919,1 năm,"Junior,Senior"
"Web Developer (HTML, CSS, JavaScript)","CSS, JavaScript, HTML",https://topdev.vn/viec-lam/web-developer-html-css-javascript-south-telecom-2027022,Không yêu cầu,Fresher
HOT 03 Senior Backend Engineer (Golang/NodeJS),"JavaScript, MySQL, NodeJS, NoSQL, Golang",https://topdev.vn/viec-lam/03-senior-backend-engineer-golang-nodejs-metasource-2027031,3 năm,Senior
"HOT Senior Automation Tester (Blockchain, up to 2500 USD)","API, Automation Tester, Tester",https://topdev.vn/viec-lam/senior-automation-tester-blockchain-up-to-2500-usd-metasource-2027029,3 năm,Senior
"HOT Designer (UX/UI, Graphic/Web Design)","UX/UI Design, Graphic Design, Web Design",https://topdev.vn/viec-lam/designer-ux-ui-graphic-web-design-titan-technology-corporation-2027036,3 năm,Senior
HOT Automation QA Engineer,"Java, Tester, Mobile, Automation Tester, Selenium, QC",https://topdev.vn/viec-lam/automation-qa-engineer-titan-technology-corporation-2027037,3 năm,Senior
HOT Manual QC Engineer,"QC, Manual Test",https://topdev.vn/viec-lam/manual-qc-engineer-titan-technology-corporation-2027038,3 năm,Senior
