,Unnamed: 0,JobTitle,Require,Link,Year,Rank
3532,5033,IT Support/ Global Service Desk Analysis,"IT Support, System Admin, English - Good, IT Service",https://topdev.vn/viec-lam/it-support-global-service-desk-analysis-swiss-post-solutions-sps-2026623,1 năm,"Junior,Middle,Senior"
3533,5034,Mobile App Developer,"Web/ Mobile, React Native, CI/CD, UX/UI Design, Front-End",https://topdev.vn/viec-lam/mobile-app-developer-cong-ty-cp-duoc-pham-pharmacity-2026613,2 năm,"Middle,Senior"
3534,5035,"[DI2] Senior Java Developer (Ee, Spring, Hibernate) - 1Y339","Java, Spring, Java Core, Java EE, Hibernate",https://topdev.vn/viec-lam/di2-senior-java-developer-ee-spring-hibernate-1y339-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026629,2 năm,Middle
3535,5036,"[DI2] Solution Architect (AWS, Java) - 1Y345","Solution Architect, Agile, DevOps",https://topdev.vn/viec-lam/di2-solution-architect-aws-java-1y345-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026630,4 năm,Senior
3536,5037,[DI2] Senior Big Data Architecture - 1Y340,"Big Data, Machine Learning, Data Architecture",https://topdev.vn/viec-lam/di2-senior-big-data-architecture-1y340-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026636,3 năm,Senior
3537,5038,[DI2] Senior/Expert Data Scientist - 1Y341,"Java, Python, Scala, Data Science",https://topdev.vn/viec-lam/di2-senior-expert-data-scientist-1y341-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026635,3 năm,Senior
3538,5039,[DI2] Senior Business Analyst (Agile) - 1Y344,"Agile, Business Analyst",https://topdev.vn/viec-lam/di2-senior-business-analyst-agile-1y344-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026632,3 năm,Senior
3539,5040,Product Manager (Merchant),"Product Manager, Software Developer, Business Analyst, Product Design, UX/UI Design",https://topdev.vn/viec-lam/product-manager-merchant-taptap-2026641,1 năm,Junior
3540,5041,Unity Developer (C#/Unity/NFT Game) ~ $3000,"C#, Unity, .NET",https://topdev.vn/viec-lam/unity-developer-c-unity-nft-game-3000-vitalify-asia-cong-ty-tnhh-vitalify-a-chau-2026754,2 năm,Middle
3541,5042,Front-End Engineer (VueJS/UX) ~ $1700,"Front-End, VueJS, JavaScript",https://topdev.vn/viec-lam/front-end-engineer-vuejs-ux-1700-vitalify-asia-cong-ty-tnhh-vitalify-a-chau-2026753,2 năm,Middle
3542,5043,Project Manager,"Agile, Product Manager, Software Developer, Videos Editor",https://topdev.vn/viec-lam/project-manager-fpt-information-system-2026642,5 năm,Trưởng phòng
3543,5044,"Back-End Developer (NodeJS/GraphQL API) ~ $1,700","NodeJS, Back-End, API, NextJS, GraphQL, JavaScript",https://topdev.vn/viec-lam/back-end-developer-nodejs-graphql-api-1-700-vitalify-asia-cong-ty-tnhh-vitalify-a-chau-2026755,2 năm,Middle
3544,5045,[Urgent] Back-end Java Developer | Offer Up to 80Mil VND+++,"Java, MySQL, J2EE, Back-End",https://topdev.vn/viec-lam/urgent-back-end-java-developer-offer-up-to-80mil-vnd-gee-pacific-technology-service-2026757,1 năm,Junior
3545,5046,.NET Developers (.NET/ .NET Core/ Angular/ React),".NET, .NET Core, MVC, Microsoft, C#",https://topdev.vn/viec-lam/net-developers-net-net-core-angular-react-cong-ty-co-phan-tap-doan-tri-nam-2026756,1 năm,Junior
3546,5047,[Fulltime HN] Senior Java Developer,"Java, JavaScript, Java Core, Java Spring Boot, Spring",https://topdev.vn/viec-lam/fulltime-hn-senior-java-developer-bnk-solutions-2026758,3 năm,Senior
3547,5048,2 Blockchain Developer,"NodeJS, Back-End, Database, Agile & Scrum, Blockchain, Solidity",https://topdev.vn/viec-lam/2-blockchain-developer-itd-group-2026821,2 năm,Middle
3548,5049,Back-end Developer (NodeJS),"NodeJS, HTML & CSS, Angular, React, VueJS, JavaScript",https://topdev.vn/viec-lam/back-end-developer-nodejs-itd-group-2026822,1 năm,Junior
3549,5050,"Back-End Developer (NodeJS, ASP.Net Core)","JavaScript, NodeJS, Blockchain, ASP.NET Core",https://topdev.vn/viec-lam/back-end-developer-nodejs-asp-net-core-lucky-tech-2026768,1 năm,Junior
3550,5051,React Native,"Android, iOS, React Native, Mobile, JavaScript",https://topdev.vn/viec-lam/react-native-lucky-tech-2026767,1 năm,Junior
3551,5052,"Front-end Developer (JavaScript, VueJS, HTML/CSS)","HTML5, JSON, CSS3, VueJS, SCSS, ES6, JavaScript",https://topdev.vn/viec-lam/front-end-developer-javascript-vuejs-html-css-itd-group-2026823,1 năm,Junior
3552,5053,[Remote/Fulltime] Senior Golang Developer,"Golang, Database, English Skills",https://topdev.vn/viec-lam/remote-fulltime-senior-golang-developer-faba-technology-2026832,4 năm,Senior
3553,5054,KỸ SƯ PHÁT TRIỂN HỆ THỐNG C/C++,"Linux, C/C++, Unix, C++",https://topdev.vn/viec-lam/ky-su-phat-trien-he-thong-c-c-cong-ty-tnhh-cung-cap-giai-phap-dich-vu-gia-tri-gia-tang-vivas-2026830,Không yêu cầu,Fresher
3554,5055,[Junior/Senior] UNITY DEVELOPER,"Android, Unity, Java, C#, Kotlin, iOS, Unity3d, Unity2D",https://topdev.vn/viec-lam/junior-senior-unity-developer-cong-ty-co-phan-giai-phap-cong-nghe-thong-tin-cuckookoo-2026835,1 năm,Junior
3555,5056,Kỹ Sư Cầu Nối Việt - Nhật (BrSE),"Japanese - N2, BrSE",https://topdev.vn/viec-lam/ky-su-cau-noi-viet-nhat-brse-softworld-vietnam-ltd-2026834,1 năm,Junior
3556,5057,"Back-end Web Developer (PHP, MySQL, Ajax)","PHP, MySQL, Ajax, Web, Back-End",https://topdev.vn/viec-lam/back-end-web-developer-php-mysql-ajax-bin-corporation-group-viet-nam-2026836,06 tháng,Fresher
3557,5058,Unity Developer,"Unity, Game",https://topdev.vn/viec-lam/unity-developer-the-minders-studio-2026840,1 năm,Junior
3558,5059,"Back-end Developer (Javascript, NodeJS)","Python, REST API, Golang, ExpressJS, NodeJS, Web Service, Nest JS",https://topdev.vn/viec-lam/back-end-developer-javascript-nodejs-brickmate-group-2026841,2 năm,Fresher
3559,5060,"06 BUSINESS ANALYST (PRODUCT, UI-UX)","Business Analyst, UX/UI Design",https://topdev.vn/viec-lam/06-business-analyst-product-ui-ux-bin-corporation-group-viet-nam-2026837,06 tháng,Fresher
3560,5061,"PHP Developer (HTML, CSS, JavaScript)","PHP, JSON, CodeIgniter, HTML & CSS, JavaScript, JQuery, Ajax",https://topdev.vn/viec-lam/php-developer-html-css-javascript-cong-ty-co-phan-cong-nghe-so-thien-quang-2026838,1 năm,Junior
3561,5062,IT PROJECT MANAGER,"Project Manager, Business Analyst",https://topdev.vn/viec-lam/it-project-manager-yes4all-trading-services-company-limited-2027143,5 năm,Senior
3562,5063,"HOT KMS Danang | One-day Hiring (Fresher Java, .NET, Tester, Low-code Engineer)","Java, .NET, Tester, QA, QC",https://topdev.vn/viec-lam/kms-danang-one-day-hiring-fresher-java-net-tester-low-code-engineer-kms-technology-2027141,Không yêu cầu,Fresher
3563,5064,HOT Automation Engineer (Selenium C#),"C#, QA, QC, Automation Tester, Selenium",https://topdev.vn/viec-lam/automation-engineer-selenium-c-orient-software-development-corporation-2027142,2 năm,Middle
3564,5065,HOT UI Designer for PayPense,UI Design,https://topdev.vn/viec-lam/ui-designer-for-paypense-hrs-group-2027140,4 năm,Senior
3565,5066,HOT Senior Java Back-end Developer - Paypense (m/f/d),"Java, Back-End",https://topdev.vn/viec-lam/senior-java-back-end-developer-paypense-m-f-d-hrs-group-2027139,3 năm,Senior
3566,5067,[ĐÀ NẴNG] Senior software Programmer (Java/JavaScript/NodeJS/MySQL),"AngularJS, Oracle, J2EE, Java, JavaScript, MySQL, JQuery, NodeJS, Spring",https://topdev.vn/viec-lam/da-nang-senior-software-programmer-java-javascript-nodejs-mysql-ntt-data-vietnam-2026824,3 năm,Senior
3567,5068,[ĐÀ NẴNG ] Fresher/Junior Software Programmer (Java/.NET/PHP),"PHP, Java, .NET",https://topdev.vn/viec-lam/da-nang-fresher-junior-software-programmer-java-net-php-ntt-data-vietnam-2026820,Không yêu cầu,Fresher
3568,5069,HOT [ĐÀ NẴNG] Leader Tester/QC/QA,"Lifecycle (sdlc), QC, Tester, QA, Automation Tester, Manual Tester",https://topdev.vn/viec-lam/da-nang-leader-tester-qc-qa-ntt-data-vietnam-2026825,3 năm,Trưởng Nhóm
3569,5070,Java Software Programmer,Java,https://topdev.vn/viec-lam/java-software-programmer-ntt-data-vietnam-2026827,1 năm,"Junior,Middle,Senior"
3570,5071,"Web Developer (ASP.NET) | Up to $2,000","ASP.NET, C#, .NET, JavaScript, ReactJS",https://topdev.vn/viec-lam/web-developer-asp-net-up-to-2-000-cong-ty-co-phan-cong-nghe-vu-thao-2026921,2 năm,Middle
3571,5072,[HÀ NỘI] Senior System Analyst,System Admin,https://topdev.vn/viec-lam/ha-noi-senior-system-analyst-ntt-data-vietnam-2026828,1 năm,Trưởng Nhóm
3572,5073,CHUYÊN VIÊN KIỂM THỬ PHẦN MỀM (TESTER),Tester,https://topdev.vn/viec-lam/chuyen-vien-kiem-thu-phan-mem-tester-cong-ty-co-phan-cong-nghe-vu-thao-2026927,1 năm,Junior
3573,5074,Senior Line Manager,"Software Developer, Angular, JavaScript, ReactJS, Japanese, English",https://topdev.vn/viec-lam/senior-line-manager-shift-asia-2026926,5 năm,Trưởng phòng
3574,5075,Mobile Developer (Java/Kotlin/Swift/Objective C),"Swift, Android, iOS, Java, Objective-C, Mobile, Kotlin",https://topdev.vn/viec-lam/mobile-developer-java-kotlin-swift-objective-c-cong-ty-cp-cq-tdt-asia-2026923,1 năm,Junior
3575,5076,Dynamics 365|AX Developer,"C++, SQL, .NET, Microsoft Dynamics AX, Microsoft Dynamics 365",https://topdev.vn/viec-lam/dynamics-365-ax-developer-naviworld-vietnam-2026932,2 năm,Middle
3576,5077,Full Stack .NET Engineer,"C#/ Oop/ Net Framwork, API, React/Typescript, ASP.NET, .NET",https://topdev.vn/viec-lam/full-stack-net-engineer-cong-ty-co-phan-torus-engineering-2026935,1 năm,Junior
3577,5078,"Developer (Flutter, .NET Core, ReactJS)","REST API, Front-End, Back-End, ReactJS, .NET Core, Flutter, ASP.NET Core, Mobile",https://topdev.vn/viec-lam/developer-flutter-net-core-reactjs-cong-ty-co-phan-the-gioi-di-dong-2026936,1 năm,"Junior,Middle,Senior"
3578,5079,Project Manager/Business Analyst (English),"Project Manager, Business Analyst",https://topdev.vn/viec-lam/project-manager-business-analyst-english-brickmate-group-2026937,2 năm,Middle
