,JobTitle,Require,Link,Year,Rank
100,Fullstack Developer (Up to 2000$),"PHP,Magento,JavaScript,SQL,Git,Full-Stack,ReactJS,AWS,Agile & Scrum",https://topdev.vn/viec-lam/fullstack-developer-up-to-2000-bss-group-2030014,1 năm,"Middle,Senior,All Levels"
101,"Junior PHP Backend Developer (Laravel, SQL)","PHP,SQL,Laravel,Back-End",https://topdev.vn/viec-lam/junior-php-backend-developer-laravel-sql-5-nhat-nhat-2030012,1 năm,Junior
102,Data Engineer,"SQL,MongoDB,NoSQL,Data Engineer",https://topdev.vn/viec-lam/data-engineer-asim-group-2030010,3 năm,"Middle,Senior"
103,"Fullstack Developer (ReactJS, NodeJS) | Salary up to 2000$","NodeJS,Full-Stack,ReactJS,VueJS,Angular",https://topdev.vn/viec-lam/fullstack-developer-reactjs-nodejs-salary-up-to-2000-upp-global-technology-2030005,2 năm,"Middle,Senior"
104,LẬP TRÌNH WEB (PHP),"PHP,CSS,HTML,Drupal",https://topdev.vn/viec-lam/lap-trinh-web-php-fidutech-2029862,2 năm,"Middle,Senior"
105,Test Engineer (Embedded),"Embedded System,Performance Testing",https://topdev.vn/viec-lam/test-engineer-embedded-hcl-technologies-2030177,1 năm,Junior
106,Senior Back-end Software Developer,"JavaScript,NodeJS,Back-End",https://topdev.vn/viec-lam/senior-back-end-software-developer-favie-tech-2030025,4 năm,Senior
107,Senior Front-end Software Developer,"Front-End,Angular",https://topdev.vn/viec-lam/senior-front-end-software-developer-favie-tech-2030023,4 năm,Senior
108,Senior Backend Engineer (Python/Java),"Java,Python,Back-End",https://topdev.vn/viec-lam/senior-backend-engineer-python-java-cong-ty-co-phan-tu-van-va-phat-trien-phan-mem-larion-2030016,4 năm,Senior
109,Tester (3 đến 5 năm kinh nghiệm),"Tester,Manual Test",https://topdev.vn/viec-lam/tester-3-den-5-nam-kinh-nghiem-datastreams-asia-2030015,3 năm,"Trưởng Nhóm,Middle,Senior"
110,Backend Developer (Java Spring Boot),"Java,Back-End,Spring Boot",https://topdev.vn/viec-lam/backend-developer-java-spring-boot-vinhomes-2030182,4 năm,Senior
111,"Software Engineer (JAVA, REACT JS/NATIVE, NODE JS, D365, AZURE, .NET)","Java,NodeJS,.NET,Back-End,React JS",https://topdev.vn/viec-lam/software-engineer-java-react-js-native-node-js-d365-azure-net-romulus-consultant-company-limited-2030181,1 năm,"Junior,Middle,All Levels"
112,Golang Team Lead,"SQL,NoSQL,Golang,Back-End,Restful Api",https://topdev.vn/viec-lam/golang-team-lead-hcl-technologies-2030180,5 năm,Trưởng Nhóm
113,Java AEM (Senior Developer) – up to 1 Billion VNĐ/year,"Web Developer,Java 8",https://topdev.vn/viec-lam/java-aem-senior-developer-up-to-1-billion-vnd-year-hcl-technologies-2030178,3 năm,Senior
114,Senior Bridge Software Engineer,"Japanese - N2,BrSE",https://topdev.vn/viec-lam/senior-bridge-software-engineer-cong-ty-tnhh-persol-process-technology-viet-nam-2030204,4 năm,Senior
115,LẬP TRÌNH VIÊN PHP Laravel Framework,"PHP,MySQL,Laravel,Back-End,API",https://topdev.vn/viec-lam/lap-trinh-vien-php-laravel-framework-modobom-international-co-ltd-2030184,2 năm,Junior
116,Nhân viên lập trình web .NET,"C#,.NET",https://topdev.vn/viec-lam/nhan-vien-lap-trinh-web-net-ctc-communications-2030183,1 năm,Junior
117,"Fullstack Developer (Java, ReactJS)","Java,SQL,Full-Stack,ReactJS,HTML & CSS,VueJS,Angular",https://topdev.vn/viec-lam/fullstack-developer-java-reactjs-mgm-technology-partners-vietnam-2029665,2 năm,Middle
